id,numerozona,nomezona,numeromuni,nomemunici,numdistrit,nomedistri,area_ha_2,nome,domicilios,familias,populacao,matriculas,empregos,automoveis,viagens_produzidas,viagens_atraidas,renda_total,renda_media_familiar,renda_per_capita,renda_mediana_familiar,nenhum_auto,1_auto,2_auto,3_ou_mais_auto,total_familias,area_arbor,area_arb_1,indicador_massa_arborea,centroid_lat,centroid_long
215,215,Vila Matilde,36,São Paulo,93,Vila Matilde,"330,17",Vila Matilde,13295,13295,39195,8214,18172,7490,73482,74385,43873794,3300,1119,2884,6564,6140,591,0,13295,"34,6753246870998",346753,"0,105022638904503","-23,5424506672153","-46,518593126392"
216,216,Cidade Patriarca,36,São Paulo,93,Vila Matilde,"336,5",Cidade Patriarca,13478,13478,40288,11045,12417,7203,69576,70143,48744009,3617,1210,2954,7897,4438,828,316,13478,"39,6038389148406",396038,"0,117693429167431","-23,5364663881154","-46,5074791793564"
217,217,Cidade A.E.Carvalho,36,São Paulo,5,Artur Alvim,"265,77",Cidade A.E.Carvalho,11042,11291,33081,7916,10832,7415,64014,64451,41380618,3665,1251,3500,4746,5678,866,0,11291,"29,925444753651",299254,"0,112599032071532","-23,5330452780626","-46,4814070290131"
269,269,Vieira de Moraes,36,São Paulo,15,Campo Belo,"171,28",Vieira de Moraes,8526,8526,21459,2470,18354,10426,67022,66337,70855909,8311,3302,7300,1349,4137,2910,130,8526,"35,5153177002783",355153,"0,207352391991349","-23,6235139067209","-46,6728575164196"
218,218,Artur Alvim,36,São Paulo,5,Artur Alvim,"387,27",Artur Alvim,23556,23556,68334,14861,18624,12883,135557,135389,71771424,3047,1050,3033,12597,8945,1524,490,23556,"51,1186980280484",511187,"0,13199756766093","-23,5451020891259","-46,4888941067533"
291,291,Jardim Presidente,36,São Paulo,23,Cidade Dutra,"762,54",Jardim Presidente,24259,24259,75809,20928,18070,16338,133199,132646,84328968,3476,1112,2937,10550,11449,2260,0,24259,"275,866022926252",2758660,"0,361772527246114","-23,7454931219845","-46,7121936453796"
222,222,Vila Carmosina,36,São Paulo,58,Parque do Carmo,"343,76",Vila Carmosina,14493,15229,44512,8774,16764,12347,78105,78807,59202119,3887,1330,2884,4730,9174,1079,245,15229,"49,669285051993",496693,"0,144488262310894","-23,5651743950434","-46,4693384553067"
225,225,Gleba do Pêssego,36,São Paulo,46,José Bonifácio,"1028,47",Gleba do Pêssego,10178,10178,31818,6822,11991,6039,52438,52215,26664495,2620,838,2453,5234,4548,114,282,10178,"676,731673907288",6767317,"0,657998457813342","-23,5758490711672","-46,4319424138471"
227,227,Guaianases,36,São Paulo,31,Guaianases,"472,34",Guaianases,20519,20519,63969,15098,15793,11502,91367,91148,59215972,2886,926,2700,9276,11243,0,0,20519,"95,8714961864788",958715,"0,202971368477111","-23,5512929707309","-46,4147358909099"
228,228,Juscelino Kubitschek,36,São Paulo,31,Guaianases,"418,82",Juscelino Kubitschek,14012,14154,44320,8074,8814,5365,59400,60518,36733263,2595,829,2086,8910,5244,0,0,14154,"172,96969478989",1729697,"0,412992920084739","-23,5621132465234","-46,3976576839465"
229,229,Cidade Tiradentes,36,São Paulo,25,Cidade Tiradentes,"953,59",Cidade Tiradentes,48217,48531,152866,39971,31893,17541,245669,246269,114926868,2368,752,2086,32944,14345,929,314,48531,"370,516089290978",3705161,"0,388548631268132","-23,5782557589902","-46,403882810696"
230,230,Santa Etelvina,36,São Paulo,25,Cidade Tiradentes,"541,3",Santa Etelvina,25065,25719,77122,23503,13952,10109,121194,119151,69775120,2713,905,2324,16567,8166,986,0,25719,"251,290977171714",2512910,"0,464236056108838","-23,5960772172847","-46,3954580996819"
232,232,Iguatemi,36,São Paulo,32,Iguatemi,"498,47",Iguatemi,13059,13059,42214,13531,9556,7739,74969,75002,41288946,3162,978,2884,5496,7132,431,0,13059,"193,205610159885",1932056,"0,387597267959728","-23,6077840699091","-46,4345981201021"
248,248,Parque do Estado,36,São Paulo,27,Cursino,"445,41",Parque do Estado,0,0,0,0,2132,0,5983,5983,0,0,0,0,0,0,0,0,0,"388,504425077732",3885044,"0,872240014992326","-23,6513105644017","-46,6229241247605"
254,254,Orfanato,36,São Paulo,95,Vila Prudente,"354,26",Orfanato,12252,12252,34074,26826,22117,10150,105170,105744,64755291,5285,1900,4000,4964,5126,1926,236,12252,"57,4468043056184",574468,"0,16216000763738","-23,5839587549322","-46,576455755693"
270,270,Campo Belo,36,São Paulo,15,Campo Belo,"138,57",Campo Belo,3668,3668,9294,1755,9812,4139,27524,27473,23055309,6286,2481,5224,522,2178,701,268,3668,"29,1693953487729",291694,"0,210502961310333","-23,6179690034554","-46,6689131983304"
255,255,Vila Zelina,36,São Paulo,95,Vila Prudente,"492,94",Vila Zelina,22919,22919,65501,12827,21020,20963,129760,129208,79010452,3447,1206,2930,5601,14145,3172,0,22919,"56,4256283388191",564256,"0,114467538318698","-23,5989838289665","-46,5665351148191"
259,259,Vila Cardoso Franco,36,São Paulo,78,Sapopemba,"163,88",Vila Cardoso Franco,12351,12351,37944,4461,10758,7650,48732,48580,32172593,2605,848,2700,6525,4175,1651,0,12351,"17,36286202862",173629,"0,105948633320845","-23,6176516303135","-46,5083883676282"
271,271,Congonhas,36,São Paulo,15,Campo Belo,"179,42",Congonhas,0,0,0,139,13426,0,22796,22402,0,0,0,0,0,0,0,0,0,"63,947433060337",639474,"0,356411955525231","-23,6277980440489","-46,6566862609637"
260,260,Parque Santa Madalena,36,São Paulo,78,Sapopemba,"204,85",Parque Santa Madalena,14948,14948,46025,6144,8903,6653,56969,56645,40049153,2679,870,2500,9546,4540,623,239,14948,"13,5605593495951",135606,"0,066197507198414","-23,6084673921441","-46,5162976565718"
300,300,Granja Julieta,36,São Paulo,72,Santo Amaro,"616,88",Granja Julieta,13227,13439,34905,35867,101042,14757,268798,270427,114325555,8507,3275,6143,2496,7463,3480,0,13439,"150,050496900647",1500505,"0,243240981877589","-23,6344996264297","-46,7066483291447"
261,261,Jardim Colorado,36,São Paulo,78,Sapopemba,"320,26",Jardim Colorado,18514,18514,56316,7100,12018,13441,84470,84449,60781258,3283,1079,3213,8139,7999,2183,193,18514,"20,0309556170689",200310,"0,062545917745172","-23,5938852058642","-46,5249402634621"
263,263,Fazenda da Juta,36,São Paulo,78,Sapopemba,"329,57",Fazenda da Juta,19766,19766,63212,14589,15372,11387,116249,115682,49310454,2495,780,2200,10417,7569,1780,0,19766,"56,9963668766665",569964,"0,172941611422965","-23,6165566565868","-46,4934023092603"
272,272,Jardim Aeroporto,36,São Paulo,15,Campo Belo,"198,55",Jardim Aeroporto,7134,7134,19506,3554,13028,5875,41280,41859,32664685,4579,1675,4209,1922,4659,553,0,7134,"27,6062120137949",276062,"0,139039093496826","-23,6370418814757","-46,663101094838"
287,287,Parque Interlagos,36,São Paulo,81,Socorro,"935,66",Parque Interlagos,9172,9357,27277,7657,14732,8770,70743,69619,50855411,5435,1864,3580,2494,5423,1171,269,9357,"210,462337486357",2104623,"0,224934631689243","-23,6909438292233","-46,7133867658813"
273,273,Vila Santa Catarina,36,São Paulo,37,Jabaquara,"325,71",Vila Santa Catarina,21766,21766,61476,7720,27078,16786,118441,119859,93456674,4294,1520,3213,7336,12452,1978,0,21766,"37,9570291123484",379570,"0,116536271874822","-23,6499350061688","-46,6602638479188"
274,274,Jabaquara,36,São Paulo,37,Jabaquara,"288,72",Jabaquara,13238,13238,35826,11567,34389,12529,135926,134492,69062057,5217,1928,3988,4494,5623,2740,381,13238,"39,7719050057736",397719,"0,1377525111034","-23,6438606730002","-46,6468219461275"
